fixture_id,kickoff,team,player,p_shots_gt0.5,odds_shots_gt0.5,ev_shots_gt0.5,p_shots_gt1.5,odds_shots_gt1.5,ev_shots_gt1.5,p_shots_gt2.5,odds_shots_gt2.5,ev_shots_gt2.5,p_sot_gt0.5,odds_sot_gt0.5,ev_sot_gt0.5,p_sot_gt1.5,odds_sot_gt1.5,ev_sot_gt1.5
1557369,2026-08-22T14:00:00+00:00,Crystal Palace,Eddie Nketiah,0.865,1.06,-0.083,0.669,1.3,-0.13,0.477,1.91,-0.089,,1.5,,,3.5,
1557369,2026-08-22T14:00:00+00:00,Crystal Palace,Dwight McNeil,,1.3,,,2.25,,,5.0,,,2.38,,,10.0,
1557369,2026-08-22T14:00:00+00:00,Crystal Palace,Jean-Philippe Mateta,0.798,1.02,-0.186,0.547,1.14,-0.376,0.34,1.5,-0.49,0.544,1.33,-0.276,0.229,2.5,-0.427
1557370,2026-08-22T14:00:00+00:00,Ipswich,Kjell Scherpen,,,,,,,,,,,,,,,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Dara O'Shea,,2.0,,,6.0,,,19.0,,,6.0,,,21.0,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Issa Diop,,2.5,,,9.0,,,21.0,,,6.0,,,,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Jacob Greaves,,2.5,,,9.0,,,21.0,,,6.0,,,,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Leif Davis,,2.25,,,8.0,,,21.0,,,6.0,,,21.0,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Marcelino Núñez,,1.11,,,1.53,,,2.5,,,1.83,,,5.5,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Saša Lukić,,1.44,,,3.0,,,7.0,,,3.75,,,21.0,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Abdul Fatawu Issahaku,,,,,,,,,,,,,,,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Daizen Maeda,,1.05,,,1.28,,,1.83,,,1.5,,,3.4,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Julio Enciso,,,,,,,,,,,,,,,
1557370,2026-08-22T14:00:00+00:00,Ipswich,Emersonn,,1.07,,,1.4,,,2.1,,,1.57,,,3.75,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Robin Roefs,,,,,,,,,,,,,,,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Thomas Meunier,,1.67,,,3.75,,,11.0,,,3.75,,,21.0,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Daniel Ballard,,1.62,,,3.75,,,11.0,,,3.4,,,17.0,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Luke O'Nien,,2.25,,,8.0,,,21.0,,,6.0,,,21.0,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Reinildo Mandava,,2.5,,,9.0,,,21.0,,,6.0,,,,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Noah Sadiki,,1.8,,,4.5,,,13.0,,,4.0,,,21.0,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Granit Xhaka,,1.53,,,3.4,,,9.0,,,3.25,,,15.0,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Trai Hume,,1.4,,,2.75,,,6.5,,,2.75,,,13.0,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Enzo Le Fée,,1.18,,,1.8,,,3.4,,,2.0,,,6.5,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Nilson Angulo,,1.18,,,1.8,,,3.4,,,2.0,,,6.5,
1557370,2026-08-22T14:00:00+00:00,Sunderland,Brian Brobbey,,1.05,,,1.28,,,1.83,,,1.5,,,3.4,
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Matz Sels,0.001,,,0.0,,,0.0,,,0.0,,,0.0,,
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Jair,,,,,,,,,,,,,,,
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Murillo,0.483,,,0.177,,,0.056,,,0.218,,,0.033,,
